event_id,choice_index,text,log
A1,0,"{wrath}를 처벌한다","{wrath}가 이를 갈며 물러납니다."
A1,1,"{sloth}에게 참으라 한다","{sloth}의 눈에서 빛이 사라집니다."
A1,2,"둘 다 처벌한다","거점에 침묵이 흐릅니다."
A1,3,"무시한다","""여긴 아무도 안 말려주는군."""
A2,0,"돌려주고 {greed}를 벌한다","{greed}가 입술을 깨물며 내놓습니다."
A2,1,"""상납""으로 인정한다","{other}가 믿을 수 없다는 표정입니다."
A2,2,"모든 장비를 바알이 회수한다","눈빛이 싸늘합니다."
A2,3,"무시한다","다음 날 또 누군가의 물건이 사라질 것입니다."
A3,0,"{envy}를 공개 질책한다","{envy}가 고개를 숙이지만 눈이 웃지 않습니다."
A3,1,"{other}를 공개 칭찬한다","{envy}의 주먹이 떨립니다."
A3,2,"{envy}에게 다음 원정 기회를 약속한다","{envy}가 만족한 듯 물러납니다."
A3,3,"무시한다","{other}가 배신감을 느낍니다."
A4,0,"{pride}를 질책한다","""내가 틀렸다는 겁니까?"" 불쾌한 표정."
A4,1,"{pride}의 말이 맞다고 인정한다","{pride}가 우쭐해합니다."
A4,2,"{pride}를 별도 시설로 옮긴다","{pride}가 굴욕으로 받아들입니다."
A4,3,"무시한다","오늘도 같은 일이 반복될 겁니다."
A5,0,"둘 다 강제로 깨운다","일어나긴 했지만 눈이 죽어 있습니다."
A5,1,"{sloth}만 격리한다","전염은 차단되었습니다."
A5,2,"하루 쉬게 해준다","내일은 나아지겠죠."
A5,3,"무시한다","내일 한 명 더 나오지 않을 수 있습니다."
A6,0,"토해내게 한다","굴욕적이지만 식량 일부를 복구했습니다."
A6,1,"""배고팠겠지"" 넘어간다","다른 영웅들이 불만스러운 표정입니다."
A6,2,"창고에 자물쇠를 건다","다시는 못 들어갑니다."
A6,3,"전체 배급량을 줄인다","모두의 표정이 어둡습니다."
A7,0,"배치를 맞춰준다","{lust}의 표정이 밝아집니다."
A7,1,"거절한다","""사사로운 감정을 끼지 마라."""
A7,2,"선호 동료를 원정에 보낸다","물리적 분리. {lust}의 눈에서 빛이 사라집니다."
A7,3,"무시한다","{lust}가 문 앞에서 한참을 서 있다 돌아갑니다."
B1,0,"다음 원정에 보낸다","{wrath}가 눈을 빛내며 돌아섭니다."
B1,1,"거절한다","{wrath}가 이를 갈며 돌아섭니다."
B1,2,"훈련소에서 풀게 한다","훈련소에서 칼 부딪히는 소리가 들립니다."
B2,0,"자원을 배분한다","{greed}가 만족한 표정으로 돌아갑니다."
B2,1,"거절한다","{greed}의 눈이 차갑게 가라앉습니다."
B2,2,"""성과를 내면 주겠다""","{greed}가 입맛을 다시며 돌아섭니다."
B3,0,"하루 쉬게 한다","오늘 인력 하나가 줄었습니다."
B3,1,"거절한다","{sloth}의 눈이 더 깊이 꺼집니다."
B3,2,"가벼운 작업만 시킨다","{sloth}가 겨우 일어납니다."
B4,0,"다음 원정에 넣는다","{envy}가 활기를 되찾습니다."
B4,1,"거절한다","{envy}의 눈이 더 어두워집니다."
B4,2,"훈련소에서 준비시킨다","{envy}가 불만스럽지만 따릅니다."
B5,0,"즉시 재파견한다","{pride}가 결의에 찬 눈으로 나갑니다."
B5,1,"거절한다","""제가 부족하다는 겁니까?"""
B5,2,"다른 파티에 넣는다","편성이 변경되었습니다."
B6,0,"장비를 지급한다","{gluttony}가 안심한 표정입니다."
B6,1,"거절한다","{gluttony}가 불안한 눈으로 창고를 바라봅니다."
B6,2,"""성과를 내면 주겠다""","{gluttony}가 고개를 끄덕입니다."
B7,0,"같은 파티에 넣는다","둘의 표정이 밝아집니다."
B7,1,"거절한다","{lust}가 고개를 떨굽니다."
B7,2,"""돌아오면 함께 배치해주겠다""","{lust}가 기대하는 눈으로 돌아섭니다."
C1,0,"성당에서 치료한다","2턴 후 회복됩니다."
C1,1,"""일어나. 쉴 시간 없다""","능력 저하 상태로 복귀합니다."
C1,2,"칭찬하고 보상한다","""잘 싸웠다."""
C1,3,"""약한 자는 필요 없다"" 해고한다","영구 제거. 거점에 공포가 스밉니다."
C2,0,"즉시 수리한다","영웅 1명이 수리에 투입됩니다."
C2,1,"내일로 미룬다","오늘 밤 방어력이 저하됩니다."
C2,2,"바리케이드로 임시 보강","방어력이 일부 복구됩니다."
C3,0,"""원정은 필요한 일이었다""","일부는 납득, 일부는 불만입니다."
C3,1,"원정대를 소환한다","원정이 중단됩니다. 챕터 진행이 리셋됩니다."
C3,2,"무시한다","불신이 쌓입니다."
C4,0,"축하한다","모두의 표정이 밝습니다."
C4,1,"""방심하지 마라"" 경고한다","긴장은 유지됩니다."
C4,2,"연회를 연다","거점이 활기로 가득합니다. 폭주 주의."
D1,0,"교역한다","물품을 구매했습니다."
D1,1,"약탈한다","물건을 빼앗았습니다. 다음 상인은 늦게 올 것입니다."
D1,2,"보낸다","상인이 마차를 끌고 떠납니다."
D2,0,"받아들인다","새 영웅이 합류했습니다."
D2,1,"거절한다","낯선 자가 돌아갑니다."
D2,2,"시험한다","""실력을 보여라."" 스탯이 공개됩니다."
D3,0,"동맹을 맺는다","방어전 시 지원군이 합류합니다."
D3,1,"거절한다","전령이 돌아갑니다."
D3,2,"전령을 잡아둔다","정보를 얻었지만 외교는 끊겼습니다."
D4,0,"문을 연다","피난민을 받아들였습니다. 노동력이 상승합니다."
D4,1,"문을 닫는다","안전하지만 마음이 무겁습니다."
D4,2,"치료제를 보낸다","선한 행동입니다. 언젠가 보답이 올 것입니다."
D5,0,"수색대를 보낸다","전리품을 획득했습니다. 해당 영웅은 밤 방어 불가."
D5,1,"무시한다","안전을 택했습니다."
D5,2,"함정일 수 있다, 경계를 높인다","오늘 밤 방어력이 소폭 상승합니다."
E1,0,"다른 영웅들을 보내 제압한다","제압에 성공했지만 참여 영웅이 부상당했습니다."
E1,1,"파괴가 멈출 때까지 기다린다","시설 1개가 파손되었습니다."
E1,2,"바알이 직접 나선다","""그만!"" 바알의 일갈에 멈춥니다."
E1,3,"밖으로 내보낸다","""적에게 풀어라."" 단독 원정. 위험합니다."
E2,0,"{envy}를 공개 처벌한다","""정의가 서 있다."""
E2,1,"{envy}에게 변명 기회를 준다","""그 사람만 특별대우 받잖아요."""
E2,2,"피해 영웅에게 새 장비를 준다","처벌 없이 넘어갑니다. 재범 위험."
E2,3,"둘을 대면시킨다","어색한 침묵이 흐릅니다."
E3,0,"추격한다","자원을 회수하고 강제 귀환시켰습니다."
E3,1,"""가져가라. 다시는 오지 마라""","{greed}가 영구 이탈합니다."
E3,2,"""절반만 돌려놓으면 눈감겠다""","타협. 다른 영웅들이 불만입니다."
E3,3,"성문을 잠근다","도주 차단. 자원 전부 회수."
E4,0,"{sloth}를 격리한다","전염이 차단되었습니다."
E4,1,"전체 집합시켜 훈련한다","무기력이 해제되었습니다."
E4,2,"{sloth}에게 역할을 준다","""네가 필요하다."""
E4,3,"하루 전체를 쉬는 날로 한다","오늘은 아무것도 못합니다."
E5,0,"남은 식량을 긴급 배급한다","전체 배급량이 감소합니다."
E5,1,"{gluttony}에게 식량을 토하게 한다","식량 일부가 복구됩니다."
E5,2,"원정대를 보내 식량을 구한다","긴급 원정. 밤 방어가 약해집니다."
E5,3,"긴축 배급으로 전환한다","식량 소모가 절반으로 줄었습니다."
E6,0,"{lust}를 격리한다","분쟁이 종료됩니다."
E6,1,"두 영웅을 떼어놓는다","처벌 없이 넘어갑니다. 재범 위험."
E6,2,"셋 다 처벌한다","""이런 짓은 안 통한다."""
E6,3,"{lust}에게 ""하나만 골라"" 강제한다","버림받은 영웅의 눈이 죽습니다."
E7,0,"""그래? 해봐라"" 정면 대결","바알이 이겼습니다. 전체 결속력 상승."
E7,1,"조용히 타협한다","""바알이 밀렸다."""
E7,2,"{pride}를 즉시 추방한다","영구 제거. 동요 영웅들 사기 급락."
E7,3,"지지자를 개별 면담한다","동요 영웅이 진정됩니다. {pride}가 고립됩니다."
